frame,people,distance_offenders,no_mask,fps
1,0,0,0,0.17
2,0,0,0,13.12
3,0,0,0,12.51
4,0,0,0,12.29
5,0,0,0,16.50
6,0,0,0,16.42
7,0,0,0,16.51
8,0,0,0,16.69
9,0,0,0,17.00
10,0,0,0,4.40
11,0,0,0,17.40
12,0,0,0,17.99
13,0,0,0,18.10
14,0,0,0,12.43
15,0,0,0,16.74
16,0,0,0,18.24
17,0,0,0,17.34
18,0,0,0,17.46
19,0,0,0,17.20
20,0,0,0,17.42
21,0,0,0,13.67
22,0,0,0,16.30
23,0,0,0,16.50
24,0,0,0,16.33
25,0,0,0,16.31
26,0,0,0,16.02
27,0,0,0,16.78
28,0,0,0,17.26
29,0,0,0,8.05
30,0,0,0,16.37
31,0,0,0,11.18
32,0,0,0,12.53
33,0,0,0,11.87
34,1,0,0,4.65
35,1,0,0,14.87
36,0,0,0,17.73
37,1,0,0,10.77
38,1,0,0,10.80
39,1,0,0,10.39
40,1,0,0,14.76
41,1,0,0,15.23
42,1,0,0,15.81
43,0,0,0,17.42
44,0,0,0,17.66
45,0,0,0,19.32
46,1,0,0,17.34
47,1,0,0,16.05
48,1,0,0,16.26
49,1,0,0,13.43
50,1,0,0,16.13
51,1,0,0,15.18
52,1,0,0,15.23
53,1,0,0,14.82
54,1,0,0,14.97
55,1,0,0,10.35
56,1,0,0,13.19
57,1,0,0,15.37
58,1,0,0,15.74
59,1,0,0,15.93
60,1,0,0,15.91
61,1,0,0,14.96
62,1,0,0,14.63
63,1,0,0,15.32
64,1,0,0,10.96
65,1,0,0,14.58
66,1,0,0,15.01
67,0,0,0,16.53
68,1,0,0,15.34
69,1,0,0,15.65
70,1,0,0,15.69
71,1,0,0,16.04
72,1,0,0,16.13
73,1,0,0,16.17
74,1,0,0,16.25
75,1,0,0,16.75
76,1,0,0,13.61
77,1,0,0,15.00
78,1,0,0,14.98
79,1,0,0,15.24
80,1,0,0,11.57
81,1,0,0,15.13
82,1,0,0,14.14
83,1,0,0,16.01
84,1,0,0,16.33
85,1,0,0,15.93
86,1,0,0,16.06
87,1,0,0,15.91
88,1,0,0,15.79
89,1,0,0,14.30
90,1,0,0,15.57
91,1,0,0,16.00
92,1,0,0,16.68
93,1,0,0,16.07
94,1,0,0,16.85
95,1,0,0,16.49
96,1,0,0,15.67
97,1,0,0,14.99
98,1,0,0,15.20
99,1,0,0,15.04
100,1,0,0,15.39
101,1,0,0,15.85
102,1,0,0,15.86
103,1,0,0,16.06
104,1,0,0,15.65
105,1,0,0,15.15
106,1,0,0,15.54
107,1,0,0,14.91
108,1,0,0,15.16
109,1,0,0,15.80
110,1,0,0,15.59
111,1,0,0,15.11
112,1,0,0,15.12
113,1,0,0,16.35
114,1,0,0,15.51
115,1,0,0,15.60
116,1,0,0,15.74
117,1,0,0,12.35
118,1,0,0,15.07
119,1,0,0,15.40
120,1,0,0,15.04
121,1,0,0,15.36
122,1,0,0,16.24
123,1,0,0,15.30
124,1,0,0,15.16
125,1,0,0,15.06
126,1,0,0,16.16
127,1,0,0,16.30
128,1,0,0,8.78
129,2,2,0,11.93
130,1,0,0,15.36
131,1,0,0,15.52
132,2,2,0,10.20
133,2,2,0,14.24
134,1,0,0,14.92
135,1,0,0,15.63
136,1,0,0,16.08
137,1,0,0,15.96
138,1,0,0,16.74
139,1,0,0,16.80
140,1,0,0,16.23
141,1,0,0,15.84
142,1,0,0,17.01
143,1,0,0,16.06
144,1,0,0,16.50
145,1,0,0,17.35
146,1,0,0,15.05
147,1,0,0,16.91
148,1,0,0,16.62
149,1,0,0,16.44
150,1,0,0,16.27
151,1,0,0,15.60
152,1,0,0,15.81
153,1,0,0,15.57
154,1,0,0,16.55
155,1,0,0,16.91
156,1,0,0,16.51
157,1,0,0,16.84
158,1,0,0,16.36
159,1,0,0,16.55
160,1,0,0,17.65
161,1,0,0,16.73
162,1,0,0,15.74
163,1,0,0,16.11
164,1,0,0,16.51
165,1,0,0,15.82
166,1,0,0,15.61
167,1,0,0,15.86
168,1,0,0,15.99
169,1,0,0,17.07
170,1,0,0,16.52
171,1,0,0,16.99
172,1,0,0,16.66
173,1,0,0,16.39
174,1,0,0,17.57
175,1,0,0,16.98
176,1,0,0,17.70
177,1,0,0,17.55
178,1,0,0,17.35
179,1,0,0,16.82
180,1,0,0,16.99
181,1,0,0,16.82
182,1,0,0,16.93
183,1,0,0,15.90
184,1,0,0,16.06
185,1,0,0,16.89
186,1,0,0,12.57
187,1,0,0,15.83
188,1,0,0,16.41
189,1,0,0,17.77
190,1,0,0,17.26
191,1,0,0,16.68
192,1,0,0,17.76
193,1,0,0,15.04
194,1,0,0,15.11
195,1,0,0,15.13
196,1,0,0,14.79
197,1,0,0,15.16
198,1,0,0,14.71
199,1,0,0,15.34
200,1,0,0,15.25
201,1,0,0,15.35
202,1,0,0,15.80
203,1,0,0,16.89
204,1,0,0,16.97
205,1,0,0,16.34
206,1,0,0,17.22
207,1,0,0,16.23
208,1,0,0,15.03
209,1,0,0,16.15
210,1,0,0,16.53
211,1,0,0,16.46
212,1,0,0,16.15
213,1,0,0,15.21
214,1,0,0,15.51
215,1,0,0,14.86
216,1,0,0,15.41
217,1,0,0,15.76
218,1,0,0,16.33
219,1,0,0,17.31
220,1,0,0,16.69
221,1,0,0,15.03
222,1,0,0,14.90
223,1,0,0,14.70
224,1,0,0,14.46
225,1,0,0,15.33
226,1,0,0,12.93
227,1,0,0,16.22
228,1,0,0,15.97
229,1,0,0,16.26
230,1,0,0,16.24
231,1,0,0,15.46
232,1,0,0,15.39
233,1,0,0,15.30
234,1,0,0,16.22
235,1,0,0,15.11
236,1,0,0,17.49
237,1,0,0,15.98
238,1,0,0,12.52
239,1,0,0,14.28
240,1,0,0,15.06
241,1,0,0,15.40
242,1,0,0,16.20
243,1,0,0,16.25
244,1,0,0,16.01
245,1,0,0,16.28
246,1,0,0,16.65
247,1,0,0,17.44
248,1,0,0,16.49
249,1,0,0,16.44
250,1,0,0,17.59
251,1,0,0,16.97
252,1,0,0,17.84
253,1,0,0,17.35
254,1,0,0,16.47
255,1,0,0,16.51
256,1,0,0,16.02
257,1,0,0,16.46
258,1,0,0,17.36
259,1,0,0,15.87
260,1,0,0,16.12
261,1,0,0,16.94
262,1,0,0,17.56
263,1,0,0,16.78
264,1,0,0,16.35
265,1,0,0,17.17
266,1,0,0,17.50
267,1,0,0,16.50
268,1,0,0,16.38
269,1,0,0,17.57
270,1,0,0,16.85
271,1,0,0,16.17
272,1,0,0,16.21
273,1,0,0,16.66
274,1,0,0,17.53
275,1,0,0,16.75
276,1,0,0,16.47
277,1,0,0,16.05
278,1,0,0,15.81
279,1,0,0,15.96
280,1,0,0,16.10
281,1,0,0,16.23
282,1,0,0,14.97
283,1,0,0,14.60
284,1,0,0,16.56
285,1,0,0,16.00
286,1,0,0,16.58
287,1,0,0,16.00
288,1,0,0,13.93
289,1,0,0,15.03
290,1,0,0,14.79
291,1,0,0,14.56
292,1,0,0,16.93
293,1,0,0,15.30
294,1,0,0,16.86
295,1,0,0,15.51
296,1,0,0,15.94
297,1,0,0,15.46
298,0,0,0,16.74
299,0,0,0,14.13
300,0,0,0,15.00
301,1,0,0,12.09
302,1,0,0,15.14
303,1,0,0,15.25
304,1,0,0,14.45
305,1,0,0,16.63
306,1,0,0,15.22
307,1,0,0,15.16
308,1,0,0,15.64
309,1,0,0,14.92
310,1,0,0,16.44
311,1,0,0,17.09
312,1,0,0,17.03
313,1,0,0,15.91
314,1,0,0,15.13
315,1,0,0,15.09
316,1,0,0,15.30
317,1,0,0,16.05
318,1,0,0,15.21
319,1,0,0,14.49
320,1,0,0,15.42
321,1,0,0,16.38
322,1,0,0,15.25
323,1,0,0,0.96
324,1,0,0,9.95
325,1,0,0,10.33
326,1,0,1,10.03
327,1,0,0,10.24
328,1,0,0,10.56
329,1,0,1,10.77
330,1,0,0,10.63
331,1,0,0,10.91
332,1,0,0,10.54
333,1,0,0,15.72
334,1,0,0,16.30
335,1,0,0,15.89
336,1,0,0,15.76
337,1,0,0,16.14
338,1,0,0,14.58
339,1,0,0,15.18
340,1,0,0,15.42
341,1,0,0,14.75
342,1,0,0,15.42
343,1,0,0,15.46
344,1,0,0,15.57
345,1,0,0,15.61
346,1,0,0,15.52
347,1,0,0,15.68
348,1,0,0,15.67
349,1,0,0,16.04
350,1,0,0,16.10
351,1,0,0,17.53
352,1,0,0,16.95
353,1,0,0,16.22
354,1,0,0,16.25
355,1,0,1,10.53
356,1,0,1,10.32
357,1,0,1,10.46
358,1,0,1,10.19
359,1,0,1,10.00
360,1,0,1,10.80
361,1,0,0,15.81
362,1,0,0,16.08
363,1,0,0,16.40
364,1,0,0,16.26
365,1,0,0,16.83
366,1,0,0,16.07
367,0,0,0,3.52
368,1,0,0,15.50
369,1,0,0,15.84
370,1,0,0,15.48
371,1,0,0,14.80
372,1,0,0,15.04
373,1,0,0,16.43
374,1,0,0,17.44
375,1,0,0,16.73
376,1,0,0,15.39
377,1,0,0,14.66
378,1,0,0,15.49
379,1,0,0,15.43
380,1,0,0,15.46
381,1,0,0,15.67
382,1,0,0,15.46
383,1,0,0,15.41
384,1,0,0,15.33
385,1,0,0,15.55
386,1,0,0,15.33
387,1,0,0,16.12
388,1,0,0,17.26
389,1,0,0,16.07
390,1,0,0,15.98
391,1,0,0,15.19
392,1,0,0,15.73
393,1,0,0,15.59
394,1,0,0,15.62
395,1,0,0,15.15
396,1,0,0,16.40
397,1,0,0,16.59
398,1,0,0,16.44
399,1,0,0,15.60
400,1,0,0,15.54
401,1,0,0,15.42
402,1,0,0,16.09
403,1,0,0,17.27
404,1,0,0,16.11
405,1,0,0,15.54
406,1,0,0,15.47
407,1,0,0,15.29
408,1,0,0,14.96
409,1,0,0,15.38
410,1,0,0,16.11
411,1,0,0,15.69
412,1,0,0,16.04
413,1,0,0,15.88
414,1,0,0,16.25
415,1,0,0,15.81
416,1,0,0,15.79
417,1,0,0,16.23
418,1,0,0,16.94
419,1,0,0,16.96
420,2,2,0,12.40
421,2,2,0,14.05
422,2,2,0,14.96
423,2,2,0,14.89
424,2,2,0,14.29
425,1,0,0,15.50
426,2,2,0,14.57
427,2,2,0,14.65
